"","title.books","publisher.books"
"227","2022 수제비 정보처리기사 필기 FINAL 실전 모의고사 1권+2권 합본세트","건기원"
"228","비전공자의 인공지능(AI) 입문","홍릉"
"229","스타트 파이썬","인포앤북"
"230","HTML5 & CSS3","북스홀릭퍼블리싱"
"231","Build Up JAVA","북스홀릭퍼블리싱"
"232","이기적 웹디자인기능사 실기 기본서","영진닷컴"
"233","도면 해독하기","명인북스"
"234","UX 기획의 기술","유엑스리뷰"
"235","전략적 UX 라이팅","유엑스리뷰"
"236","프로젝트에서 제품으로","에이콘출판사"
"237","한글 2020 단계별 정복하기","아티오"
"238","라이브 커머스, 방구석 노마드로 시작하자 ","아티오"
"239","EBS 컴퓨터활용능력 1급 실기","한국교육방송공사"
"240","컴교실대소동 한셀 2016","비비드북"
"241","컴교실대소동 컴실력 뽐내기","비비드북"
"242","컴교실대소동 엑셀 2016","비비드북"
"243","포토샵 CC 무작정 따라하기","길벗"
"244","유니티 교과서","길벗"
"245","시스템으로 풀어 보는 게임 디자인","에이콘출판사"
"246","실용주의 프로그래머 ","인사이트(insight)"
"247","Do it! 스위프트로 아이폰 앱 만들기 입문","이지스퍼블리싱"
"248","Hello IT 프론트엔드 개발을 시작하려고 해 입문편","패스트캠퍼스"
"249","어린이 마스터셰프와 함께 떠나는 한글 NEO","웰북"
"250","어린이 과학탐험대와 함께 떠나는 파워포인트 2016","웰북"
"251","어린이 CEO와 함께 떠나는 엑셀 2016","웰북"
"252","알 스웨이가트의 파이썬 프로젝트","제이펍"
"253","팀장님, 우리도 협업 도구 쓸까요?","비제이퍼블릭(BJ퍼블릭)"
"254","인사이드 안드로이드 OS","위키북스"
"255","메타버스 시대 가장 먼저 배우고 익혀야 할 스마트폰 활용","에스엔에스소통연구소"
"256","Lets 예제로 배우는 빅데이터 분석 R프로그래밍","아이비김영"
"257","디지털 시대 꼭 필요한 스마트폰 활용 지침서","에스엔에스소통연구소"
"258","2022 수제비 정보처리산업기사 필기 1권+2권 합본세트","건기원"
"259","142가지 데이터셋","생능북스"
"260","시간순삭 인공지능 with 엠블록 & 아두이노","생능북스"
"261","손에 잡히는 퀀트 투자 with 파이썬","위키북스"
"262","스마트스쿨 한글 2020","REXmedia(렉스미디어)"
"263","라이센스플러스 ITQ 한글 2020","REXmedia(렉스미디어)"
"264","CODING BASICS PYTHON","REXmedia(렉스미디어)"
"265","달콤한 C언어","연두에디션"
"266","Raptor와 Python으로 배우는 소프트웨어 기초설계","연두에디션"
"267","아두이노로 배우는 임베디드 시스템","교우사(오판근)"
"268","2022 시나공 사무자동화산업기사 실기 (오피스 2016/2010/2007 공용)","길벗"
"269","2022 시나공 GTQ 포토샵 1급","길벗"
"270","아는 것이 돈이다","이음"
"271","디지털 신호 처리","한빛아카데미"
"272","2022 공개적 빅데이터분석기사 필기 ","와이즈인컴퍼니"
"273","2022 공개적 빅데이터분석기사 실기 ","와이즈인컴퍼니"
"274","2022 이기적 정보처리기능사 실기 기본서","영진닷컴"
"275","2022 이기적 리눅스마스터 2급 기본서","영진닷컴"
"276","이득우의 게임 수학","책만"
"277","HTML+CSS+자바스크립트","생능북스"
"278","파이썬 텍스트 마이닝 완벽 가이드","위키북스"
"279","Auto ML 플랫폼 WiseProphet으로 AI 모델 쉽게 개발하기","도서출판청람(이수영)"
"280","Go 프로그래밍 쿡북 2/e","에이콘출판사"
"281","CDT코딩창의개발능력 1급 스크래치3.0","해람북스"
"282","메타버스를 디자인하라","한빛미디어"
"283","실무 인디자인 테크닉","성안당"
"284","2022 NEW출제경향대비 컬러리스트 필기시험 산업기사·기사","미진사"
"285","아두이노 통신 프로젝트","디지털북스"
"286","명품 HTML5+CSS3+Javascript 웹 프로그래밍","생능출판사"
"287","소프트웨어 제품라인 개발 입문","홍릉"
"288","ITQ 한글 NOE 2016","기한재"
"289","국가공인자격 빅데이터 분석기사 필기 1000 ","스토리조아(STORYJOA)"
"290","Must Have Joyce의 안드로이드 앱 프로그래밍 with 코틀린","골든래빗"
"291","데이터 파이프라인 핵심 가이드","위키북스"
"292","하나씩 천천히, 디지털 드로잉","혜지원"
"293","안드로이드 프로그래밍","생능출판사"
"294","이기적 ITQ 인터넷","영진닷컴"
"295","사이버파이와 함께하는 인공지능 파이썬&블럭코딩","창의융합과학"
"296","진짜 쓰는 실무 엑셀","제이펍"
"297","2022 비단길 정보처리기사 필기","성안당"
"298","2022 시나공 퀵이지 컴퓨터활용능력 2급 필기","길벗"
"299","한글 2020","교학사"
"300","MLFlow를 활용한 MLOps ","에이콘출판사"
"301","디지털 트윈 개발 및 클라우드 배포","에이콘출판사"
"302","단단한 심층강화학습","제이펍"
"303","파이썬 프로그래밍","21세기사"
"304","리눅스 프로그래밍","생능출판사"
"305","STATA 시계열 데이터 분석","지필출판사(지필미디어)"
"306","실전! 파이토치 딥러닝 프로젝트","위키북스"
"307","생물정보학 알고리듬 3/e","에이콘출판사"
"308","이제 시작이야! 컴퓨팅 사고력으로 인공지능까지 파이썬","연두에디션"
"309","한 권으로 끝내는 네이버쇼핑 스마트스토어 바이블","정보문화사"
"310","레트로의 유니티 게임 프로그래밍 에센스","한빛미디어"
"311","이토록 쉬운 데이터 요약과 시각화 with R","루비페이퍼"
"312","컴퓨테이셔널 디자인","BOOKK(부크크)"
"313","컴스타 코딩 엔트리 + 파포 2016","아카데미소프트"
"314","게임으로 배우는 스크래치 3.0","아카데미소프트"
"315","KOREA 정보화 나만의 블로그 만들기","아카데미소프트"
"316","C언어 이해와 응용","성진미디어"
"317","구글클라우드 앱시트 노코드 완전활용법 ","마크리더"
"318","비전공자도 배워서 바로 따는 국가공인 데이터 분석 준전문가 자격증 ADsP","마소캠퍼스"
"319","Vue.js+Node.js 프로젝트 투입 일주일 전","비제이퍼블릭(BJ퍼블릭)"
"320","스펙트럼 머신러닝 with 파이썬","비제이퍼블릭(BJ퍼블릭)"
"321","생각하고 만드는 아두이노","앤써북"
"322","최고의 블렌디드 러닝","사회평론아카데미"
"323","생활코딩! 자바 프로그래밍 입문","위키북스"
"324","라이노 7 독학하기","성안당"
"325","맛있게 읽는 말랑말랑 파이썬 유쾌한 맛!","북스힐"
"326","쿠브플로 운영 가이드","한빛미디어"
"327","한달 공부 데이터 분석","디스커버리미디어"
